从财宫看你的理财能力
第二宫落白羊座 花钱冲动，赚钱有魄力，但是轻易赚到的钱总是不懂珍惜。
第二宫落金牛座 喜欢花钱买有价值的东西，很有赚钱的头脑，对自己的财产非常在乎。
第二宫落双子座 花钱没有章法，但是赚钱的路子广，在意赚钱的过程是否很有趣。
第二宫落巨蟹座 花钱看心情，赚钱的应变能力很强，有储蓄的习惯，也喜欢收藏旧东西。
第二宫落狮子座 花钱很大方，努力赚钱来彰显地位，重视金钱物质，喜欢名牌。
第二宫落处女座 喜欢计划着花钱，非常懂得运用资源，重视每一件事情的细节。
第二宫落天秤座 喜欢花钱买所有美的东西，非常擅于合作赚钱，但常常不知道是否适合自己。
第二宫落天蝎座 喜欢把钱花在特别有价值感的事物上，赚钱能力很强，有一夜暴富的潜质。
第二宫落射手座 花钱很干脆，财运不错，懂得运用资源扩展事业，经常在外地赚到钱。
第二宫落摩羯座 喜欢把钱花在有永恒修值感的事物上，赚钱的欲望强烈，也很实际，非常有能力稳固自己的财富。
第二宫落水瓶座 喜欢花钱买新奇的物品，赚钱靠心情，没有金钱欲望，钱来的快去的也快。
第二宫落双鱼座 花钱没有概念，想花就花，财运不错，没有理财观念，对梦幻的东西感兴趣。
